u_id,Name,visits,downloads,owner,category,data_provided_by,keywords,description,Frequency,last_update_date_data,URL,type,public,provenance,Source,source_link,creation_date,Last Update
kppy-esfu,Property Management Area Uses,1171,1070,FAS - Real Estate Services,Land Base,Department of Finance and Administrative Services,,Data on  the uses categories of City owned property,To Be Determined,04/03/2014 07:50:00 PM,https://data.seattle.gov/d/kppy-esfu,dataset,True,official,,,04/01/2014 06:11:00 PM,
nnjy-exhw,Communities Connect Network,1228,1646,Community Technology,Community,Seattle Information Technology,,"A project of the EdLab Group, Communities Connect Network (CCN) is a statewide coalition of public and private organizations working to make Washington State a leader in “digital inclusion” – the movement to ensure that all individuals have access and the skills to use the Internet and information technologies.

CCN brings together community technology providers with state and local governments, corporate, philanthropic, and individual supporters to ensure that all residents are able to fully participate in Washington’s increasingly technology-rich society.

Most recently, CCN is the recipient of federal Department of Commerce NTIA Broadband Technology Opportunities Program (BTOP) funding for public computing centers. The Communities Connect Network Project works to improve broadband adoption rates, workforce preparation, digital literacy, access to education, justice resources, and training at 22 sites in seven counties around Washington State. Partners include non-profits, libraries, community centers and courthouses. See BTOP Computer Labs for a complete list of partners.",To Be Determined,06/21/2012 05:05:00 PM,https://data.seattle.gov/d/nnjy-exhw,dataset,True,official,,,06/21/2012 05:03:00 PM,
avwm-i8ym,2nd Ave Cycle Track North of Marion St,1652,1536,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,monthly data,bicycle,pedestrian",The counter consist on Inductive loops on the pathway that count the passing of bicycles with travel direction. They are very accurate and designed to be used on greenways and cycle tracks,Monthly,04/02/2019 08:33:00 PM,https://data.seattle.gov/d/avwm-i8ym,dataset,True,official,,,10/12/2015 05:13:00 PM,
n3gw-htbc,Block Watch,603,1190,Seattle IT,Public Safety,Seattle Information Technology,"block watch,police,public safety,neighborhood watch",from City groups,To Be Determined,04/23/2012 06:10:00 PM,https://data.seattle.gov/d/n3gw-htbc,dataset,True,official,,http://seattle.citygroups.org/taxonomy/term/721,10/11/2011 10:08:00 PM,
n2mk-9di2,Capacity For All Parcels 2015,2677,838,Seattle SDCI,Land Base,Office of Planning and Community Development,,"See also Open Data dataset titled ""Zoning Density Assumptions For Zoned Development Capacity Model"" at https://data.seattle.gov/d/i6qv-ar46.  

Read the Development Capacity Report for the Seattle 2035 Comprehensive Plan here:
http://www.seattle.gov/dpd/cs/groups/pan/@pan/documents/web_informational/p2182731.pdf

Learn more about zone development capacity here: http://www.seattle.gov/DPD/cityplanning/populationdemographics/zoneddevcapacity/default.htm",Other,07/01/2015 10:18:00 PM,https://data.seattle.gov/d/n2mk-9di2,dataset,True,official,,,06/16/2015 09:12:00 PM,
mwxw-7pct,2013 Proposed Budget - Expenditure Allowance by Budget Control Level (BCL),572,1409,Brandon Johns,Finance,Budget Office,2013 proposed budget,"September 24, 2012",One Time,09/25/2012 05:15:00 PM,https://data.seattle.gov/d/mwxw-7pct,dataset,True,official,,,09/25/2012 05:15:00 PM,
88ys-gyb4,"Statistics,Major Crimes, 2014, by Precinct and Beat",804,2637,"8059 Vonaschen-Cook, Miriam Z.",Public Safety,Seattle Police Department,"statistics.,seattle,spd,2014,major,crime,violent,property,vehicle,stolen,theft,homicide,rape,larceny,assault,burglary",2014 major crime statistics by precinct and beat.,Monthly,04/07/2015 09:50:00 PM,https://data.seattle.gov/d/88ys-gyb4,dataset,True,official,,http://www.seattle.gov/police/crime/stats.htm,04/07/2015 09:39:00 PM,
yenx-5x5h,Excess Property,861,1374,FAS - Real Estate Services,Land Base,Department of Finance and Administrative Services,excess property,List of  properties in the reuse and disposition review process,Other,09/23/2014 07:15:00 PM,https://data.seattle.gov/d/yenx-5x5h,dataset,True,official,,,03/24/2014 08:46:00 PM,
d3ef-e2aq,2013 Active Business License Data,812,1077,FAS - Financial Services,Finance,Department of Finance and Administrative Services,business license,Dataset contains active business license data for the City of Seattle for 2013.,To Be Determined,05/15/2015 04:31:00 PM,https://data.seattle.gov/d/d3ef-e2aq,dataset,True,official,,,05/14/2015 10:45:00 PM,
5nzb-2wmf,COS-Statistics-Gov-Domains-Only,929,2982,"Eckstine, Nate",City Business,Seattle Information Technology,"google,webstats,nre,census-okfn","Google Analytics counts for *.seattle.gov domains, non seattle.gov domains managed by the city are added in as the numbers are available. 5nzb-2wmf Content Drill-down from UA report by month.",Monthly,05/09/2016 09:12:00 PM,https://data.seattle.gov/d/5nzb-2wmf,dataset,True,official,,http://www.seattle.gov/,07/17/2015 08:50:00 PM,
265m-q8pf,2018 Seattle Business Districts,1239,2050,Mikel Davila,City Business,Office of Economic Development,"oed,economic development",Contact list of business district organizations in Seattle,Quarterly,04/04/2018 06:15:00 PM,https://data.seattle.gov/d/265m-q8pf,dataset,True,official,,,05/16/2013 06:05:00 PM,
jbb5-9wmt,Summer Learning Locations,882,1256,"Somerfield, Beth",Education,Department of Education and Early Learning,,,One Time,12/30/2013 06:57:00 PM,https://data.seattle.gov/d/jbb5-9wmt,dataset,True,official,,,12/30/2013 06:55:00 PM,
k9m8-nhz3,City of Seattle Wages:  Comparison by Gender –Wage Progression Job Titles,857,2267,Seattle IT,City Business,Seattle Information Technology,"wages,salary,salaries,job,classifications,government,gender",Average hourly wages for women and men in all represented and non-represented step-progression job classes,Other,07/16/2013 04:37:00 PM,https://data.seattle.gov/d/k9m8-nhz3,dataset,True,official,,http://mayormcginn.wpengine.netdna-cdn.com/wp-content/uploads/2013/07/Appendix-5B-final.pdf,07/16/2013 04:37:00 PM,
t5yb-ggw9,2014 Proposed Budget - Expenditures Allowance by Budget Control Level (BCL),464,1684,City Budget Office,Finance,Budget Office,"2014,proposed,budget",This data comes directly from Attachment A to the 2014 Budget Adoption Ordinance. This data reflects all appropriations (by budget control level) included in the 2014 Proposed Budget.,One Time,10/03/2013 06:55:00 PM,https://data.seattle.gov/d/t5yb-ggw9,dataset,True,official,,,10/03/2013 06:54:00 PM,
ewwk-ty4e,2013 NBPD Bike Counts,608,2250,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"2013,nbpd,bike,counts,bike counts",Detailed Bike quarterly count on the fifty National Bike and Pedestrian Count locations in Seattle. This data set does not show pedestrian counts.,Other,09/29/2014 08:46:00 PM,https://data.seattle.gov/d/ewwk-ty4e,dataset,True,official,,,09/29/2014 08:46:00 PM,
n6as-h2bj,Videos recorded in Phase 1 of the Seattle Police body worn video pilot,710,1092,"8059 Vonaschen-Cook, Miriam Z.",Public Safety,Seattle Police Department,,,One Time,06/08/2015 04:42:00 PM,https://data.seattle.gov/d/n6as-h2bj,dataset,True,official,,,06/08/2015 04:39:00 PM,
tptv-57gf,City of Seattle Wages:  Comparison by Gender - Discretionary Pay Titles,649,2349,Seattle IT,City Business,Seattle Information Technology,"wages,salary,salaries,job,classifications,government,gender,comparison by gender,gender wage study",Average hourly wages for women and men in the Discretionary Pay Program by job classification,Other,07/16/2013 09:17:00 PM,https://data.seattle.gov/d/tptv-57gf,dataset,True,official,,http://mayormcginn.wpengine.netdna-cdn.com/wp-content/uploads/2013/07/Appendix-5-Final.pdf,07/16/2013 09:14:00 PM,
52uk-pbhi,2013 Proposed Budget Attachment A,450,1588,Brandon Johns,Finance,Budget Office,2013 proposed budget,"2013 Proposed Budget Attachment A  - September 24, 2012.",One Time,09/25/2012 04:20:00 PM,https://data.seattle.gov/d/52uk-pbhi,dataset,True,official,,,09/25/2012 04:20:00 PM,
pjx6-rnig,2013 Adopted Budget - Expenditure Allowance by Budget Control Level (BCL),354,1634,City Budget Office,Finance,Budget Office,2013 adopted budget,This data reflects all appropriations (by budget control level) included in the 2013 Adopted Budget.,One Time,06/05/2013 08:30:00 PM,https://data.seattle.gov/d/pjx6-rnig,dataset,True,official,,http://www.seattle.gov/financedepartment/,06/05/2013 08:30:00 PM,
2qmq-fcpi,Incrementalchanges,397,1137,Seattle IT,Finance,Budget Office,,Incremental changes,To Be Determined,10/08/2013 07:22:00 PM,https://data.seattle.gov/d/2qmq-fcpi,dataset,True,official,,,09/17/2013 04:35:00 PM,
qi2h-j69m,Open Budget Application: Capital Budget,525,1073,Meredith Slota,Finance,Budget Office,,data powering openbudget.seattle.gov,Other,09/28/2015 07:55:00 PM,https://data.seattle.gov/d/qi2h-j69m,dataset,True,official,,,09/22/2014 10:55:00 PM,
k3hs-aykd,City of Seattle Wages: Comparison by Gender - Discretionary Pay Titles by Department,455,1960,Seattle IT,City Business,Mayor's Office,"wages,salary,salaries,job,classifications,government,gender,comparison by gender,gender wage study",,One Time,07/16/2013 08:42:00 PM,https://data.seattle.gov/d/k3hs-aykd,dataset,True,official,,http://mayormcginn.wpengine.netdna-cdn.com/wp-content/uploads/2013/07/Appendix-4-EEO-Final.pdf,07/16/2013 08:42:00 PM,
5jqs-k4qf,City of Seattle Wages: Comparison by Gender - Average Hourly Wage by Department,488,3403,Seattle IT,City Business,Mayor's Office,"wages,salary,salaries,job,classifications,government,gender,comparison by gender,gender wage study",Average hourly wages for women and men sorted by City department and age range,Other,07/16/2013 07:41:00 PM,https://data.seattle.gov/d/5jqs-k4qf,dataset,True,official,,http://mayormcginn.wpengine.netdna-cdn.com/wp-content/uploads/2013/07/Appendix-3-Final.pdf,07/16/2013 07:41:00 PM,
3cfy-6eby,Open Budget Application: Operating Budget,633,1250,"Kirk, Daniel",Finance,Budget Office,,data powering openbudget.seattle.gov,Other,08/11/2016 09:40:00 PM,https://data.seattle.gov/d/3cfy-6eby,dataset,True,official,,,09/22/2014 11:01:00 PM,
nr4r-xu4y,Expenditures- FTEs,323,1078,Seattle IT,Finance,Budget Office,,Expenditures - FTEs,To Be Determined,10/03/2013 02:35:00 PM,https://data.seattle.gov/d/nr4r-xu4y,dataset,True,official,,,09/17/2013 04:32:00 PM,
4khs-fz35,Police Beat and Precinct Centerpoints,472,1058,"8059 Vonaschen-Cook, Miriam Z.",Land Base,Seattle Police Department,,,To Be Determined,03/04/2014 12:22:00 AM,https://data.seattle.gov/d/4khs-fz35,dataset,True,official,,,03/03/2014 10:56:00 PM,
awiz-hn89,FAS Facilities,433,1326,FAS - Real Estate Services,Land Base,Department of Finance and Administrative Services,"fas,facilities",FAS Facilities,Annually,08/14/2014 09:45:00 PM,https://data.seattle.gov/d/awiz-hn89,dataset,True,official,,,08/14/2014 08:52:00 PM,
p29e-cz3v,Sidebarinformation,255,1537,Seattle IT,Finance,Budget Office,,sidebarinformation,One Time,10/07/2013 04:44:00 PM,https://data.seattle.gov/d/p29e-cz3v,dataset,True,official,,http://www.seattle.gov/financedepartment/,09/17/2013 06:24:00 PM,
kdjv-k5qf,Coffee with the Sallys Map,308,1597,"Peha, Joseph",Community,Office of the City Clerk,"sally clark,sally bagshaw,seattle city council,coffee with the sallys",Grab a coffee and join Seattle City Councilmember Sally Bagshaw and Seattle City Council President Sally Clark for conversation and caffeine out in your neighborhood.,Other,02/24/2015 09:34:00 PM,https://data.seattle.gov/d/kdjv-k5qf,dataset,True,official,,,09/25/2013 05:28:00 PM,
2u47-byfn,COS-Statistics-Mobile Sessions,313,3125,"Eckstine, Nate",City Business,Seattle Information Technology,"google,mobile,nre,stats,census-okfn,gatc",Mobile Sessions by Operating System from Google Analytics. By Month. 2u47-byfn,Monthly,09/29/2016 02:57:00 PM,https://data.seattle.gov/d/2u47-byfn,dataset,True,official,,http://www.seattle.gov/,07/20/2015 08:57:00 PM,
k3fj-6j29,Mayor's Town Halls,237,1200,engage_dsg,Community,Mayor's Office,"town halls,community engagement,outreach","A list of all of Mayor McGinn's public outreach meetings from 2010 to 2013, current as of 9/6/13. Contact Sol Villarreal in the Mayor's Office with questions: sol.villarreal@seattle.gov.",Other,09/07/2013 12:30:00 AM,https://data.seattle.gov/d/k3fj-6j29,dataset,True,official,,,09/07/2013 12:28:00 AM,
sar3-57ew,Open Budget Application: Capital Projects List,362,1134,"Kirk, Daniel",Finance,Budget Office,,data powering openbudget.seattle.gov,Other,08/11/2016 08:34:00 PM,https://data.seattle.gov/d/sar3-57ew,dataset,True,official,,,09/22/2014 11:00:00 PM,
vhxv-xnfk,MNM Feature Types,96,797,Seattle IT,City Business,Seattle Information Technology,,,Other,07/01/2015 08:41:00 PM,https://data.seattle.gov/d/vhxv-xnfk,dataset,True,official,,,07/01/2015 08:39:00 PM,
v5tj-kqhc,Seattle Parks And Recreation Park Addresses,576,1362,"Bhang-Barnett, Hazel",Parks and Recreation,Seattle Parks and Recreation,"seattle,parks,recreation,address,addresses",Seattle Parks and Recreation Park Addresses with X and Y coordinates,Annually,03/17/2016 11:43:00 PM,https://data.seattle.gov/d/v5tj-kqhc,dataset,True,official,,http://www.seattle.gov/parks,03/11/2016 05:51:00 PM,
39xq-zv8h,City Sponsored Events Simple,465,887,Seattle IT,Community,Seattle Information Technology,"events,calendar,trumba",Trumba events,Other,02/18/2016 05:35:00 PM,https://data.seattle.gov/d/39xq-zv8h,dataset,True,official,,,11/09/2015 11:38:00 PM,
2cer-njie,Seattle Parks and Recreation Parks Features,850,936,"Blood, Bruce",Parks and Recreation,Seattle Parks and Recreation,"parks,addresses,features","Listing of all park features by park.  EX: if a park has multiple tennis courts each of them is included.

PMAID is our Property Management Area ID. It is used by the City of Seattle to reference a group of adjoined land parcels into a larger area such as a park. This coding works well for Parks because most parks consist of multiple parcels. This number is assigned by the city. Other cities likely use a similar identifier, but not the same method as Seattle.",Other,03/19/2016 06:08:00 PM,https://data.seattle.gov/d/2cer-njie,dataset,True,official,,http://www.seattle.gov/parks/,03/19/2016 05:56:00 PM,
38vd-gytv,Traffic Flow Map Volumes,4448,3099,"Moore, Craig",Transportation,Seattle Department of Transportation,"transportation,sdot,volume,traffic counts,traffic flow map",Average annual weekday traffic volumes used to produce the SDOT Traffic Flow Map,Annually,12/11/2018 04:46:00 PM,https://data.seattle.gov/d/38vd-gytv,dataset,True,official,,http://www.seattle.gov/transportation/tfdmaps.htm,01/04/2016 04:42:00 PM,
54qs-2h7f,Unreinforced Masonry Buildings,3542,1716,Seattle SDCI,Permitting,Seattle Department of Construction and Inspections,"unreinforced masonry buildings,urm,building,earthquake",A list of known unreinforced masonry buildings in the Seattle city limits.,Other,12/18/2018 06:04:00 PM,https://data.seattle.gov/d/54qs-2h7f,dataset,True,official,,http://www.seattle.gov/sdci/,05/06/2016 04:37:00 PM,
qew5-gawh,OPA Complaint Tracker - Task Language,227,1356,Seattle IT,Public Safety,Seattle Information Technology,,"OPA COMPLAINT TRACKER
Task language; data used to report a user friendly message to",Other,01/09/2018 10:37:00 PM,https://data.seattle.gov/d/qew5-gawh,dataset,True,official,,,03/25/2015 09:25:00 PM,
kj6s-3vrw,Open Budget Application: Content Configurations,132,1114,Jacob Rhoades,Finance,Budget Office,,data powering openbudget.seattle.gov,Other,02/17/2015 05:17:00 PM,https://data.seattle.gov/d/kj6s-3vrw,dataset,True,official,,,09/22/2014 10:56:00 PM,
tik2-ywhq,Picnic Sites,750,1065,"Morrison, Kyle",Parks and Recreation,Seattle Parks and Recreation,"picnic,reservation,table,site,reserve",Seattle Parks and Recreation Reservable Picnic Sites,Annually,03/14/2019 11:03:00 PM,https://data.seattle.gov/d/tik2-ywhq,dataset,True,official,,,04/19/2016 11:39:00 PM,
i6qv-ar46,Zoning Density Assumptions For Zoned Development Capacity Model,830,1332,Seattle SDCI,Land Base,Office of Planning and Community Development,,"Relates to Open Data dataset titled ""Capacity For All Parcels 2015"" at https://data.seattle.gov/d/n2mk-9di2.

Read the Development Capacity Report for the Seattle 2035 Comprehensive Plan here: http://www.seattle.gov/dpd/cs/groups/pan/@pan/documents/web_informational/p2182731.pdf.

Learn more about zone development capacity here: http://www.seattle.gov/DPD/cityplanning/populationdemographics/zoneddevcapacity/default.htm.",Other,06/09/2015 10:39:00 PM,https://data.seattle.gov/d/i6qv-ar46,dataset,True,official,,,06/09/2015 10:38:00 PM,
j9km-ydkc,Seattle Parks and Recreation Parks With Features,525,677,"Blood, Bruce",Parks and Recreation,Seattle Parks and Recreation,"parks,features","Listing all parks that have at least one of a particular kind of feature.  EX:  if a park has one or more tennis court it is included.

PMAID is the Property Management Area ID. It is used by the City of Seattle to reference a group of adjoined land parcels into a larger area such as a park. This coding works well for Parks because most parks consist of multiple parcels. This number is assigned by the city. Other cities likely use a similar identifier, but not the same method as Seattle.",Other,03/19/2016 10:57:00 PM,https://data.seattle.gov/d/j9km-ydkc,dataset,True,official,,http://www.seattle.gov/parks/,03/19/2016 10:28:00 PM,
mueu-imua,Open Budget Application: Phase List,102,1123,Jacob Rhoades,Finance,Budget Office,,data powering openbudget.seattle.gov,Other,09/22/2014 11:03:00 PM,https://data.seattle.gov/d/mueu-imua,dataset,True,official,,,09/22/2014 11:03:00 PM,
3cgi-y59e,Open Budget Application: String Configurations,100,987,Jacob Rhoades,Finance,Budget Office,,data powering openbudget.seattle.gov,Other,09/22/2014 10:54:00 PM,https://data.seattle.gov/d/3cgi-y59e,dataset,True,official,,,09/22/2014 10:54:00 PM,
ivxr-h48f,City Council Calendar,400,1437,Seattle IT,City Business,Seattle Information Technology,"event,trumba,council",Trumba Calendar Events,monthly,04/02/2019 08:31:00 AM,https://data.seattle.gov/d/ivxr-h48f,dataset,True,official,,,12/30/2015 04:06:00 PM,
s5r9-s7xv,DSG Monthly rollup,138,832,Seattle IT,City Business,Seattle Information Technology,,,Other,02/29/2016 12:01:00 PM,https://data.seattle.gov/d/s5r9-s7xv,dataset,True,official,,,07/01/2015 09:05:00 PM,
22zb-azac,SPD Offense Codes,1121,2341,"8059 Vonaschen-Cook, Miriam Z.",Public Safety,Seattle Police Department,"spd,incident,police,code,definition",Code Descriptions for the Seattle Police Department Police Incident Report in the dataset https://data.seattle.gov/Public-Safety/Seattle-Police-Department-Police-Report-Incident/7ais-f98f,Annually,05/03/2016 05:58:00 PM,https://data.seattle.gov/d/22zb-azac,dataset,True,official,,,05/03/2016 05:58:00 PM,
jqzt-uqux,2015 Short Duration Automated Bike Counts,205,1716,"Conor, Jeffrey",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,bicycle","SDOT used Eco-Counter automated pneumatic tube counters to count cyclist volumes across the city. Most counts are for six days, but some may be longer or shorter. This is the raw data from counts conducted during 2015.

Counts are for both directions (when a street is not one way) unless specified in the Location Field.
SB = Southbound
NB = Northbound
EB = Eastbound
WB = Westbound",One Time,04/25/2016 10:20:00 PM,https://data.seattle.gov/d/jqzt-uqux,dataset,True,official,,,04/25/2016 10:15:00 PM,
m83s-wdbc,2014 Short Duration Automated Bike Counts,142,1426,"Conor, Jeffrey",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,bicycle","SDOT used Eco-Counter automated pneumatic tube counters to count cyclist volumes across the city. Most counts are for six days, but some may be longer or shorter. This is the raw data from counts conducted during 2014.

Counts are for both directions (when a street is not one way) unless specified in the Location Field.
SB = Southbound
NB = Northbound
EB = Eastbound
WB = Westbound",One Time,04/25/2016 09:54:00 PM,https://data.seattle.gov/d/m83s-wdbc,dataset,True,official,,,04/25/2016 09:52:00 PM,
cnwf-5zes,Your Voice Your Choice Master List of All Projects With Scores,81,879,"Maag, Lois",Community,Department of Neighborhoods,"parks,streets,your voice,your choice,yvyc,participatory budgeting","This is a list of street or park improvement ideas submitted by community members as a part of the Your Voice, Your Choice: Parks and Streets participatory budgeting program. These ideas were reviewed for feasibility by Seattle Parks and Recreation and Seattle Department of Transportation and prioritized by project development teams made up of community members. Ideas identified as both feasible and high-priority appeared on ballots by council district in June, and 33 projects were approved by voters to be included in the Mayor’s 2018 proposed budget. This list includes final project status for each idea submitted in 2017.",One Time,08/28/2017 11:35:00 PM,https://data.seattle.gov/d/cnwf-5zes,dataset,True,official,,http://www.seattle.gov/neighborhoods,08/28/2017 11:35:00 PM,
cqw4-z7jp,Public Life Data 2018 - People Moving,98,26,SDOT GIS,Transportation,Seattle Department of Transportation,"public life,public space,sidewalks,streets,vibrancy,pedestrian counts,people moving,transportation,survey,sdot","This dataset provides data on people moving through space, including total number observed, gender breakdown, and group size.",To Be Determined,11/14/2018 05:05:00 PM,https://data.seattle.gov/d/cqw4-z7jp,dataset,True,official,,,11/14/2018 04:37:00 PM,
3qih-4uwq,Code Compliance Violations by Year,48,14,Seattle SDCI,Community,Seattle Department of Construction and Inspections,,Code Compliance violations by type per year. Sort the Year column by descending order to see the most recent years.,Annually,03/05/2019 03:04:00 PM,https://data.seattle.gov/d/3qih-4uwq,dataset,True,official,,,12/12/2018 08:04:00 PM,
28ny-9ts8,Terry Stops,2180,799,spd2internetData,Public Safety,Seattle Police Department,"police,terry stops,detentions","This data represents records of police reported stops under Terry v. Ohio, 392 U.S. 1 (1968). Each row represents a unique stop. 

- Each record contains perceived demographics of the subject, as reported by the officer making the stop and officer demographics as reported to the Seattle Police Department, for employment purposes. 

- Where available, data elements from the associated Computer Aided Dispatch (CAD) event (e.g. Call Type, Initial Call Type, Final Call Type) are included.",Daily,04/02/2019 03:24:00 PM,https://data.seattle.gov/d/28ny-9ts8,dataset,True,official,,http://www.seattle.gov/police,04/13/2017 12:46:00 AM,
2aqe-rae6,Seattle Center Utility Use Details 2013 - 2015,127,675,"Wells, Denise",City Business,Seattle Center,"seattle center,utility,keyarena,mccaw hall,armory","This dataset provides total monthly utility consumption off all non-tenant occupied facilities at Seattle Center. This includes KeyArena, McCaw Hall, Armory, Campus Grounds, Garages, and other small facilities.",Annually,02/01/2017 09:49:00 PM,https://data.seattle.gov/d/2aqe-rae6,dataset,True,official,,http://www.seattlecenter.com,02/01/2017 09:48:00 PM,
2bpz-gwpy,2016 Building Energy Benchmarking,1711,871,"Sullivan, Terry",,Office of Sustainability and Environment,"building,eui,energy,steam,electricity,greenhouse gas,emissions,benchmarking,natural gas","Seattle’s Building Energy Benchmarking and Reporting Program (SMC 22.920) requires owners of non-residential and multifamily buildings (20,000 square feet or larger) to track energy performance and annually report to the City of Seattle. Buildings account for 33% of Seattle's core emissions. The benchmarking policy supports Seattle's goals to reduce energy use and greenhouse gas emissions from existing buildings. In 2013, the City of Seattle adopted a Climate Action Plan to achieve zero net greenhouse gas (GHG) emissions by 2050. Annual benchmarking, reporting and disclosing of building performance are foundational elements of creating more market value for energy efficiency.
Per Ordinance (125000), starting with 2015 energy use performance reporting, the City of Seattle will make the data for all building 20,000 SF and larger available annually. This update to the benchmarking mandate was passed by Seattle City Council on February 29, 2016.

If you have questions or comments on the data, email us at energybenchmarking@seattle.gov and include Open Data in the subject line.",Quarterly,03/14/2018 11:44:00 PM,https://data.seattle.gov/d/2bpz-gwpy,dataset,True,official,,https://www.seattle.gov/energybenchmarking,03/14/2018 11:27:00 PM,
2gfu-h8u3,2018 Bias Incident Reports by Protected Class,5,4,"Beach, Monica",City Business,Seattle Office for Civil Rights,"civil rights,bias","The Seattle Office for Civil Rights (SOCR) receives calls on the Bias Incident Reporting Line. This dataset shows the amount of calls received each quarter of 2018 by protected class. A protected class is a characteristic of a person that is protected by the laws SOCR enforces such as race, gender identity, or disability. An “uncategorized” protected class means the caller did not provide a protected class.",Annually,03/22/2019 10:16:00 PM,https://data.seattle.gov/d/2gfu-h8u3,dataset,True,official,,http://www.seattle.gov/civilrights,03/22/2019 10:14:00 PM,
4cjt-vcv5,2018 Proposed Budget Resources,64,426,Seattle IT,Finance,Budget Office,budget,Proposed Budget Resources 2018,One Time,09/26/2017 08:22:00 PM,https://data.seattle.gov/d/4cjt-vcv5,dataset,True,official,,http://www.seattle.gov/financedepartment,09/25/2017 10:18:00 PM,
2khk-5ukd,City of Seattle Wage Data,46283,10764,"Dooley, Connor",City Business,Seattle Department of Human Resources,"employee name,wage,salary,classification,department,job title,hourly rate",Wage and classification information of City of Seattle Employees as of March 2019. Exclusions may apply for vulnerable populations.,Monthly,03/29/2019 05:27:00 PM,https://data.seattle.gov/d/2khk-5ukd,dataset,True,official,,,03/03/2017 12:55:00 AM,
32ek-fqau,Aging and Disability Services - Client Level Data 2011,59,294,"Kajfasz, Owen",Community,Human Services Department,"human services,services,aging,disability,2011","The City’s Aging and Disability Services (ADS) addresses the environmental, economic, and social factors that influence the health and well-being of older adults. In an effort to ensure all older adults experience stable health and can age in place, the Human Services Department invests in a combination of direct services and in funding agencies that serve our older adults. ADS supports older individuals, those living with a disability, and their families. 
This dataset is taken from an ADS database that tracks services to clients. That is, each record in the dataset holds information from a specific service provided to an individual client. Services are provided both by direct City services and by those the City contracts with. Due to the sensitivity of this data, efforts have been made to remove any personally identified information from the records. As different service providers are required to collect different kinds of information, some fields appear NULL or blank.",One Time,09/08/2017 09:31:00 PM,https://data.seattle.gov/d/32ek-fqau,dataset,True,official,,http://www.seattle.gov/humanservices/,09/08/2017 09:28:00 PM,
33kz-ixgy,Call Data,5315,790,spd2internetData,Public Safety,Seattle Police Department,"911,calls for service,police","This data represents police response activity. Each row is a record of a Call for Service (CfS) logged with the Seattle Police Department (SPD) Communications Center. Calls originated from the community and range from in progress or active emergencies to requests for problem solving. Additionally, officers will log calls from their observations of the field. 

Previous versions of this data set have withheld approximately 40% of calls. This updated process will release more than 95% of all calls but we will no longer provide latitude and longitude specific location data. In an effort to safeguard the privacy of our community, calls will only be located to the “beat” level. Beats are the most granular unit of management used for patrol deployment. To learn more about patrol deployment, please visit: https://www.seattle.gov/police/about-us/about-policing/precinct-and-patrol-boundaries.

As with any data, certain conditions and qualifications apply:

1)	These data are queried from the Data Analytics Platform (DAP), and updated incrementally on a daily basis. A full refresh will occur twice a year and is intended to reconcile minor changes.

2)	This data set only contains records of police response. If a call is queued in the system but cleared before an officer can respond, it will not be included. 

3)	These data contain administrative call types. Use the “Initial” and “Final” call type to identify the calls you wish to include in your analysis. 

We invite you to engage these data, ask questions and explore.",Daily,04/02/2019 06:31:00 AM,https://data.seattle.gov/d/33kz-ixgy,dataset,True,official,,http://www.seattle.gov/police/,04/13/2018 06:14:00 PM,
8mr5-e7ze,2018 Proposed Budget Changes,57,454,Seattle IT,Finance,Budget Office,budget,Proposed Budget Changes 2018,One Time,09/26/2017 08:21:00 PM,https://data.seattle.gov/d/8mr5-e7ze,dataset,True,official,,http://www.seattle.gov/financedepartment,09/25/2017 10:06:00 PM,
3mzv-b4ze,WAT Maintenance and Equipment Reimbursment 2015,118,652,"Consumer Protection Unit, FAS",Transportation,Department of Finance and Administrative Services,taxi,"Data set provides the total amount of money paid per wheelchair accessible taxi for maintenance and equipment costs for the period 1/1/13-12/31/15. Owners were reimbursed for expenses related to ramps, axles, brakes and transmissions up to $3500.",One Time,07/15/2016 11:49:00 PM,https://data.seattle.gov/d/3mzv-b4ze,dataset,True,official,,,07/15/2016 11:46:00 PM,
3wdb-kmn9,Data Center Summary Extract Service Offering Disk,78,499,"Morris, Dylan",City Business,Seattle Information Technology,,Ticket data for IT Service Level Indicators (in reference to inter-department Service Level Agreements).,Daily,08/05/2016 04:42:00 PM,https://data.seattle.gov/d/3wdb-kmn9,dataset,True,official,,,08/04/2016 06:00:00 PM,
49wx-mavc,2016 Adopted Budget Changes,90,725,Seattle IT,Finance,Budget Office,2016 adopted budget changes,2016 Adopted Budget Changes,One Time,08/04/2016 08:38:00 PM,https://data.seattle.gov/d/49wx-mavc,dataset,True,official,,http://www.seattle.gov,08/04/2016 08:37:00 PM,
ujt3-6w6q,Age Friendly Discount Directory,251,324,"Clemens, Katie",Community,Human Services Department,"discount,age friendly,services","The Age Friendly Discount Directory provides an opportunity for retail, service, arts, entertainment, tourism, and other organizations in the greater Seattle area to provide special discounts for older adults and/or adults with disabilities, building their customer base and, at the same time, building a more age-friendly community.",Monthly,03/28/2019 07:37:00 PM,https://data.seattle.gov/d/ujt3-6w6q,dataset,True,official,,http://www.seattle.gov/humanservices/,03/28/2018 05:27:00 PM,
